Open,High,Low,Close,Volume,Dividends,Stock Splits
26053.150390625,26082.400390625,26015.30078125,26043.55078125,0,0.0,0.0
26044.80078125,26075.5,26042.80078125,26068.30078125,0,0.0,0.0
26006.400390625,26028.30078125,25892.75,25959.44921875,0,0.0,0.0
25959.5,25967.400390625,25911.94921875,25956.099609375,0,0.0,0.0
25956.30078125,25975.0,25902.25,25912.25,0,0.0,0.0
25911.849609375,25927.599609375,25896.900390625,25923.05078125,0,0.0,0.0
25924.0,25932.349609375,25864.44921875,25889.349609375,0,0.0,0.0
25887.75,25917.80078125,25845.55078125,25873.75,0,0.0,0.0
25874.599609375,25893.94921875,25873.80078125,25891.19921875,0,0.0,0.0
25863.80078125,25953.69921875,25822.19921875,25878.849609375,0,0.0,0.0
25879.0,25879.0,25763.349609375,25776.75,0,0.0,0.0
